Fiscal Year,Service,Department,Project,Project ID,Fund,Fund Type,Thru FY Actuals,FY Approved
2016,Health & Human Services,Boston Center for Youth and Families,BCYF Tobin Community Center Site Study,CCC23882,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Health & Human Services,Boston Center for Youth and Families,BCYF Vine Street Community Center,CCC23654,City Bonds,G.O. Authorization,$0.00,$4840000.00
2016,Health & Human Services,Boston Center for Youth and Families,BCYF Vine Street Community Center,CCC23654,City Bonds,G.O. Authorization,$0.00,$500000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Beethoven School Playground,CPR23746,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Beethoven School Playground,CPR23746,City Bonds,G.O. Authorization,$0.00,$335000.00
2016,Economic Development,Boston Redevelopment Authority,BMIP: Black Falcon Avenue and Terminal Street,CBR23777,City Bonds,G.O. Authorization,$0.00,$1400000.00
2016,Economic Development,Boston Redevelopment Authority,BMIP: Black Falcon Avenue and Terminal Street,CBR23777,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Economic Development,Boston Redevelopment Authority,BMIP: Bulkhead Restoration along Fid Kennedy Avenue,CBR23625,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Economic Development,Boston Redevelopment Authority,BMIP: Bulkhead Restoration along Fid Kennedy Avenue,CBR23625,City Bonds,G.O. Authorization,$0.00,$1500000.00
2016,Economic Development,Boston Redevelopment Authority,BMIP: Drainage System Improvements,CBR23622,City Bonds,G.O. Authorization,$0.00,$610000.00
2016,Economic Development,Boston Redevelopment Authority,BMIP: Drainage System Improvements,CBR23622,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Economic Development,Boston Redevelopment Authority,BMIP: Fid Kennedy Avenue Improvements ,CBR24166,City Bonds,G.O. Authorization,$0.00,$240000.00
2016,Economic Development,Boston Redevelopment Authority,BMIP: Harbor Street Improvements,CBR24163,City Bonds,G.O. Authorization,$0.00,$215000.00
2016,Economic Development,Boston Redevelopment Authority,BMIP: Pier 5 Cofferdam Sheet Piling Repairs,CBR24173,City Bonds,G.O. Authorization,$0.00,$600000.00
2016,Economic Development,Boston Redevelopment Authority,BMIP: Pier 5 / Drydock 4 Improvements,CBR23785,City Bonds,G.O. Authorization,$0.00,$875000.00
2016,Economic Development,Boston Redevelopment Authority,BMIP: Pier 5 / Drydock 4 Improvements,CBR23785,City Bonds,G.O. Authorization,$0.00,$100000.00
2016,Economic Development,Boston Redevelopment Authority,BMIP: South and East Jetty Repairs,CBR23802,City Bonds,G.O. Authorization,$0.00,$800000.00
2016,Economic Development,Boston Redevelopment Authority,BMIP: South and East Jetty Repairs,CBR23802,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Economic Development,Boston Redevelopment Authority,BMIP: Tide Street Improvements,CBR23780,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Economic Development,Boston Redevelopment Authority,BMIP: Tide Street Improvements,CBR23780,City Bonds,G.O. Authorization,$0.00,$330000.00
2016,Economic Development,Boston Redevelopment Authority,BMIP: Wharf 8 Bulkhead Rehabilitation,CBR23624,City Bonds,G.O. Authorization,$0.00,$2000000.00
2016,Economic Development,Boston Redevelopment Authority,BMIP: Wharf 8 Bulkhead Rehabilitation,CBR23624,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Health & Human Services,Boston Center for Youth and Families,Boilers and HVAC Improvements,CCC24130,City Bonds,G.O. Authorization,$0.00,$1230000.00
2016,Education,School Department,Boston Arts Academy,CPS24295,State grant,Capital Grants,$0.00,$1139000.00
2016,Education,School Department,Boston Arts Academy,CPS24295,Revenue Calculations,Capital Grants,$0.00,$0.00
2016,Education,School Department,Boston Arts Academy,CPS24295,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,Boston Arts Academy,CPS24295,City Bonds,G.O. Authorization,$0.00,$561000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Boston Common Accessibility Study Shaw Memorial,CPR24153,City Bonds,G.O. Authorization,$0.00,$50000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Boston Common Accessibility Study Shaw Memorial,CPR24153,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Boston Common Boylston Street Edge,CPR24240,City Bonds,G.O. Authorization,$0.00,$560000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Boston Common Parkman Plaza,CPR24021,City Bonds,G.O. Authorization,$0.00,$3500000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Boston Common Parkman Plaza,CPR24021,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Boston Common Pathways,CPR23476,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Boston Common Pathways,CPR23476,City Bonds,G.O. Authorization,$0.00,$1482144.66
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Boston Common Utility Study,CPR24219,City Bonds,G.O. Authorization,$0.00,$100000.00
2016,Education,School Department,Boston School Building Authority,CPS24316,City Bonds,G.O. Authorization,$0.00,$20000000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Bridge Repairs,CPW22928,City Bonds,G.O. Authorization,$0.00,$21963561.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Bridge Repairs,CPW22928,City Bonds,G.O. Authorization,$0.00,$1000000.00
2016,"Streets, Transportation & Sanitation",Transportation Department,BTD Tow Lot Facility,CTD23937,City Bonds,G.O. Authorization,$0.00,$5400000.00
2016,"Streets, Transportation & Sanitation",Transportation Department,BTD Tow Lot Facility,CTD23937,City Bonds,G.O. Authorization,$0.00,$600000.00
2016,Public Safety,Fire Department,Building Envelope Repairs at Various Stations,CFD24092,City Bonds,G.O. Authorization,$0.00,$2017500.00
2016,Public Safety,Fire Department,Building Envelope Repairs at Various Stations,CFD24092,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Information & Technology,Department of Innovation and Technology,Business Process Modernization,CMS24179,City Bonds,G.O. Authorization,$0.00,$1000000.00
2016,Information & Technology,Department of Innovation and Technology,Business Process Modernization,CMS24179,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Bussey Brook Wall,CPR24227,City Bonds,G.O. Authorization,$0.00,$125000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Caldwell Street Playground,CPR23567,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Caldwell Street Playground,CPR23567,City Bonds,G.O. Authorization,$0.00,$290000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Cambridge Street Bridge,CPW20586,City Bonds,G.O. Authorization,$0.00,$253000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Cambridge Street Bridge,CPW20586,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,Carter Development Center,CPS24154,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,Carter Development Center,CPS24154,City Bonds,G.O. Authorization,$0.00,$1600000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Cassidy Field House,CPR24305,City Bonds,G.O. Authorization,$0.00,$125000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Cassidy Field House,CPR24305,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Cassidy Park Master Plan,CPR24005,City Bonds,G.O. Authorization,$0.00,$60000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Cassidy Park Master Plan,CPR24005,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Arts & Culture,Library Department,Central Library Energy Improvements,CLD23014,City Bonds,G.O. Authorization,$0.00,$5650000.00
2016,Arts & Culture,Library Department,Central Library Energy Improvements,CLD23014,Other funds,Capital Grants,$0.00,$122134.03
2016,Arts & Culture,Library Department,Central Library Energy Improvements,CLD23014,Other funds,Capital Grants,$0.00,$0.00
2016,Arts & Culture,Library Department,Central Library Energy Improvements,CLD23014,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Arts & Culture,Library Department,Central Library: Johnson Roof Replacement,CLD24144,City Bonds,G.O. Authorization,$0.00,$4830000.00
2016,Arts & Culture,Library Department,Central Library: Johnson Roof Replacement,CLD24144,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Arts & Culture,Library Department,Central Library: McKim Waterproofing,CLD23493,City Bonds,G.O. Authorization,$0.00,$480000.00
2016,Arts & Culture,Library Department,Central Library: McKim Waterproofing,CLD23493,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Arts & Culture,Library Department,Central Library Piping Infrastructure,CLD23492,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Arts & Culture,Library Department,Central Library Piping Infrastructure,CLD23492,City Bonds,G.O. Authorization,$0.00,$1950000.00
2016,Arts & Culture,Library Department,Central Library Renovation: Johnson Building ,CLD23615,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Arts & Culture,Library Department,Central Library Renovation: Johnson Building ,CLD23615,City Bonds,G.O. Authorization,$0.00,$75500000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Central Maintenance Facility Complex,CPW23454,City Bonds,G.O. Authorization,$0.00,$14060000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Central Maintenance Facility Complex,CPW23454,Other funds,Capital Grants,$0.00,$100673.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Central Maintenance Facility Complex,CPW23454,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Central Maintenance Facility Complex,CPW23454,State grant,Capital Grants,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Central Maintenance Facility Vehicle Wash,CPW22420,City Bonds,G.O. Authorization,$0.00,$7704225.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Central Maintenance Facility Vehicle Wash,CPW22420,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Central Square,CTD23216,State grant,Capital Grants,$0.00,$1400000.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Central Square,CTD23216,City Bonds,G.O. Authorization,$0.00,$6300000.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Central Square,CTD23216,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Central Square,CTD23216,Revenue Calculations,Capital Grants,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Centre Street / South Street,CTD23406,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Centre Street / South Street,CTD23406,City Bonds,G.O. Authorization,$0.00,$400000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Children's Park Playground,CPR24008,City Bonds,G.O. Authorization,$0.00,$560000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Children's Park Playground,CPR24008,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Choice Neighborhood,CPW23637,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Choice Neighborhood,CPW23637,Federal grant,Non Capital Fund,$0.00,$525000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Choice Neighborhood,CPW23637,City Bonds,G.O. Authorization,$0.00,$2605000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Choice Neighborhood,CPW23637,Federal grant,Non Capital Fund,$0.00,$525000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Christopher Columbus Park ,CPR24241,City Bonds,G.O. Authorization,$0.00,$260000.00
2016,Operations,Property and Construction Management,City Hall,CPM24317,City Bonds,G.O. Authorization,$0.00,$20000000.00
2016,Operations,Property and Construction Management,City Hall / 26 Court Street Programming Study,CPM24061,City Bonds,G.O. Authorization,$0.00,$400000.00
2016,Operations,Property and Construction Management,City Hall / 26 Court Street Programming Study,CPM24061,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Operations,Property and Construction Management,City Hall ADA Restroom,CPM24152,City Bonds,G.O. Authorization,$0.00,$50000.00
2016,Operations,Property and Construction Management,City Hall Energy Efficiency,CPM23090,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Operations,Property and Construction Management,City Hall Energy Efficiency,CPM23090,Other funds,Capital Grants,$0.00,$1043232.00
2016,Operations,Property and Construction Management,City Hall Energy Efficiency,CPM23090,City Bonds,G.O. Authorization,$0.00,$2350000.00
2016,Operations,Property and Construction Management,City Hall Energy Efficiency,CPM23090,Other funds,Capital Grants,$0.00,$0.00
2016,Operations,Property and Construction Management,City Hall Garage Repairs,CPM24053,City Bonds,G.O. Authorization,$0.00,$2644100.00
2016,Operations,Property and Construction Management,City Hall Garage Repairs,CPM24053,City Bonds,G.O. Authorization,$0.00,$500000.00
2016,Operations,Property and Construction Management,City Hall HVAC System Improvements,CPM23906,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Operations,Property and Construction Management,City Hall HVAC System Improvements,CPM23906,City Bonds,G.O. Authorization,$0.00,$9500000.00
2016,Operations,Property and Construction Management,City Hall Lobby Access Improvements,CPM24151,City Bonds,G.O. Authorization,$0.00,$100000.00
2016,Operations,Property and Construction Management,City Hall Plaza,CPM22900,City Bonds,G.O. Authorization,$0.00,$2000000.00
2016,Operations,Property and Construction Management,City Hall Plaza,CPM22900,Revenue Calculations,Non Capital Fund,$0.00,$0.00
2016,Operations,Property and Construction Management,City Hall Plaza,CPM22900,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Economic Development,Boston Redevelopment Authority,City Hall Plaza Improvements,CBR24205,City Bonds,G.O. Authorization,$0.00,$500000.00
2016,Economic Development,Boston Redevelopment Authority,City Hall Plaza Improvements,CBR24205,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Operations,Property and Construction Management,City Hall Plaza Vertical Connection,CPM24150,City Bonds,G.O. Authorization,$0.00,$100000.00
2016,Economic Development,Boston Redevelopment Authority,CNY: Drydock 5 Maritime Improvements,CBR24175,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Economic Development,Boston Redevelopment Authority,CNY: Drydock 5 Maritime Improvements,CBR24175,City Bonds,G.O. Authorization,$0.00,$155000.00
2016,Economic Development,Boston Redevelopment Authority,CNY: Pier 11 Fender System Improvements,CBR24047,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Economic Development,Boston Redevelopment Authority,CNY: Pier 11 Fender System Improvements,CBR24047,City Bonds,G.O. Authorization,$0.00,$375000.00
2016,Economic Development,Boston Redevelopment Authority,CNY: Pier 4 Improvements,CBR21672,City Bonds,G.O. Authorization,$0.00,$300000.00
2016,Economic Development,Boston Redevelopment Authority,CNY: Pier 4 Improvements,CBR21672,State grant,Non Capital Fund,$0.00,$0.00
2016,Economic Development,Boston Redevelopment Authority,CNY: Pier 4 Improvements,CBR21672,State grant,Non Capital Fund,$0.00,$1583500.00
2016,Economic Development,Boston Redevelopment Authority,CNY: Pier 4 Improvements,CBR21672,City Bonds,G.O. Authorization,$0.00,$627500.00
2016,Economic Development,Boston Redevelopment Authority,CNY: Shipyard Park Public Fountain,CBR23902,City Bonds,G.O. Authorization,$0.00,$195000.00
2016,Economic Development,Boston Redevelopment Authority,CNY: Shipyard Park Public Fountain,CBR23902,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Commonwealth Avenue Mall,CPR23481,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Commonwealth Avenue Mall,CPR23481,City Bonds,G.O. Authorization,$0.00,$500000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Commonwealth Avenue Phase 3 and 4,CPW23783,City Bonds,G.O. Authorization,$0.00,$2000000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Commonwealth Avenue Phase 3 and 4,CPW23783,Revenue Calculations,Non Capital Fund,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Commonwealth Avenue Phase 3 and 4,CPW23783,State grant,Non Capital Fund,$0.00,$20000000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Commonwealth Avenue Phase 3 and 4,CPW23783,City Bonds,G.O. Authorization,$0.00,$900000.00
2016,Public Safety,Police Department,Communications Infrastructure Upgrades,CPD24169,City Bonds,G.O. Authorization,$0.00,$10000000.00
2016,Public Safety,Police Department,Communications Infrastructure Upgrades,CPD24169,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Police Department,Community Policing Facilities Study,CPD24088,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Police Department,Community Policing Facilities Study,CPD24088,City Bonds,G.O. Authorization,$0.00,$225000.00
2016,Information & Technology,Department of Innovation and Technology,Computer Aided Dispatch,CMS23369,City Bonds,G.O. Authorization,$0.00,$16985000.00
2016,Information & Technology,Department of Innovation and Technology,Computer Aided Dispatch,CMS23369,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Connect Historic Boston,CPW23925,Other funds,Capital Grants,$0.00,$960000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Connect Historic Boston,CPW23925,State grant,Capital Grants,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Connect Historic Boston,CPW23925,Federal grant,Capital Grants,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Connect Historic Boston,CPW23925,Federal grant,Capital Grants,$0.00,$15523700.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Connect Historic Boston,CPW23925,City Bonds,G.O. Authorization,$0.00,$7520000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Connect Historic Boston,CPW23925,City Bonds,G.O. Authorization,$0.00,$700000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Connect Historic Boston,CPW23925,State grant,Capital Grants,$0.00,$4300000.00
2016,Information & Technology,Department of Innovation and Technology,Core Technology Infrastructure,CMS23273,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Information & Technology,Department of Innovation and Technology,Core Technology Infrastructure,CMS23273,City Bonds,G.O. Authorization,$0.00,$21775000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Court Renovations,CPR22955,City Bonds,G.O. Authorization,$0.00,$473480.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Court Renovations,CPR22955,City Bonds,G.O. Authorization,$0.00,$4246000.00
2016,Arts & Culture,Library Department,Critical Facility Repairs,CLD23071,Other funds,Capital Grants,$0.00,$60945.45
2016,Public Safety,Police Department,Critical Facility Repairs,CPD22763,City Bonds,G.O. Authorization,$0.00,$665000.00
2016,Operations,Property and Construction Management,Critical Facility Repairs,CPM23075,City Bonds,G.O. Authorization,$0.00,$650000.00
2016,Health & Human Services,Boston Center for Youth and Families,Critical Facility Repairs,CCC22939,City Bonds,G.O. Authorization,$0.00,$80843.00
2016,Health & Human Services,Public Health Commission,Critical Facility Repairs,CPH23184,City Bonds,G.O. Authorization,$0.00,$430000.00
2016,Public Safety,Fire Department,Critical Facility Repairs,CFD24327,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Police Department,Critical Facility Repairs,CPD22763,City Bonds,G.O. Authorization,$0.00,$135000.00
2016,Education,School Department,Critical Facility Repairs,CPS24324,City Bonds,G.O. Authorization,$0.00,$1000000.00
2016,Health & Human Services,Public Health Commission,Critical Facility Repairs,CPH23184,City Bonds,G.O. Authorization,$0.00,$2500000.00
2016,Operations,Property and Construction Management,Critical Facility Repairs,CPM23075,City Bonds,G.O. Authorization,$0.00,$2343883.00
2016,Arts & Culture,Library Department,Critical Facility Repairs,CLD23071,City Bonds,G.O. Authorization,$0.00,$1959250.58
2016,Public Safety,Fire Department,Critical Facility Repairs,CFD24327,City Bonds,G.O. Authorization,$0.00,$750000.00
2016,Health & Human Services,Boston Center for Youth and Families,Critical Facility Repairs,CCC22939,City Bonds,G.O. Authorization,$0.00,$1101812.00
2016,Arts & Culture,Library Department,Critical Facility Repairs,CLD23071,City Bonds,G.O. Authorization,$0.00,$195000.00
2016,Education,School Department,Critical Facility Repairs,CPS24324,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Crossroads Initiative,CPW22783,Other funds,Non Capital Fund,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Crossroads Initiative,CPW22783,City Bonds,G.O. Authorization,$0.00,$7414589.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Crossroads Initiative,CPW22783,City Bonds,G.O. Authorization,$0.00,$200000.00
