Fiscal Year,Cabinet,Department,Program,Expense Type,Expense Category,Recommended Amount,Approved Amount,Account Name,Fund,Fund Type,Program Number,Account Number
2016,Information & Technology,Department of Innovation and Technology,"Policy, Planning and Innovation",Contractual Services,Transportation of Persons,$33700.00,$33700.00,Transportation of Persons, General Fund , Tax Supported Funds ,149100,52800
2016,Information & Technology,Department of Innovation and Technology,IT Operations and Service Delivery,Contractual Services,Repairs & Service To Equipment,$54200.00,$54200.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,149500,52700
2016,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Repairs & Service To Equipment,$958800.00,$958800.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,149400,52700
2016,Information & Technology,Department of Innovation and Technology,eGovernment,Contractual Services,Repairs & Service To Equipment,$1000.00,$1000.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,149300,52700
2016,Information & Technology,Department of Innovation and Technology,"Policy, Planning and Innovation",Contractual Services,Repairs & Service To Equipment,$6000.00,$6000.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,149100,52700
2016,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Repairs Buildings & Structures,$0.00,$0.00,Repairs Buildings & Structures, General Fund , Tax Supported Funds ,149400,52600
2016,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Communications,$498200.00,$498200.00,Communications, General Fund , Tax Supported Funds ,149400,52100
2016,Information & Technology,Department of Innovation and Technology,eGovernment,Contractual Services,Communications,$10000.00,$10000.00,Communications, General Fund , Tax Supported Funds ,149300,52100
2016,Information & Technology,Department of Innovation and Technology,Enterprise Applications,Contractual Services,Communications,$55000.00,$55000.00,Communications, General Fund , Tax Supported Funds ,149200,52100
2016,Information & Technology,Department of Innovation and Technology,"Policy, Planning and Innovation",Contractual Services,Communications,$160000.00,$160000.00,Communications, General Fund , Tax Supported Funds ,149100,52100
2013,Mayors Cabinet,Law Department,Litigation,Contractual Services,Contracted Services,$1587318.66,$1587318.66,Contracted Services, General Fund , Tax Supported Funds ,151200,52900
2014,Information & Technology,Department of Innovation and Technology,IT Operations and Service Delivery,Contractual Services,Contracted Services,$67000.00,$67000.00,Contracted Services, General Fund , Tax Supported Funds ,149500,52900
2014,Information & Technology,Department of Innovation and Technology,IT Operations and Service Delivery,Contractual Services,Transportation of Persons,$0.00,$0.00,Transportation of Persons, General Fund , Tax Supported Funds ,149500,52800
2014,Information & Technology,Department of Innovation and Technology,IT Operations and Service Delivery,Contractual Services,Repairs & Service To Equipment,$94200.00,$94200.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,149500,52700
2014,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Contracted Services,$645000.00,$645000.00,Contracted Services, General Fund , Tax Supported Funds ,149400,52900
2014,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Transportation of Persons,$7500.00,$7500.00,Transportation of Persons, General Fund , Tax Supported Funds ,149400,52800
2014,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Repairs & Service To Equipment,$955800.00,$955800.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,149400,52700
2014,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Repairs Buildings & Structures,$0.00,$0.00,Repairs Buildings & Structures, General Fund , Tax Supported Funds ,149400,52600
2014,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Communications,$23200.00,$23200.00,Communications, General Fund , Tax Supported Funds ,149400,52100
2014,Information & Technology,Department of Innovation and Technology,eGovernment,Contractual Services,Contracted Services,$86500.00,$86500.00,Contracted Services, General Fund , Tax Supported Funds ,149300,52900
2014,Information & Technology,Department of Innovation and Technology,eGovernment,Contractual Services,Transportation of Persons,$1500.00,$1500.00,Transportation of Persons, General Fund , Tax Supported Funds ,149300,52800
2014,Information & Technology,Department of Innovation and Technology,eGovernment,Contractual Services,Repairs & Service To Equipment,$1000.00,$1000.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,149300,52700
2014,Information & Technology,Department of Innovation and Technology,eGovernment,Contractual Services,Communications,$7900.00,$7900.00,Communications, General Fund , Tax Supported Funds ,149300,52100
2014,Information & Technology,Department of Innovation and Technology,Enterprise Applications,Contractual Services,Contracted Services,$1768500.00,$1768500.00,Contracted Services, General Fund , Tax Supported Funds ,149200,52900
2014,Information & Technology,Department of Innovation and Technology,Enterprise Applications,Contractual Services,Transportation of Persons,$14500.00,$14500.00,Transportation of Persons, General Fund , Tax Supported Funds ,149200,52800
2014,Information & Technology,Department of Innovation and Technology,Enterprise Applications,Contractual Services,Communications,$56000.00,$56000.00,Communications, General Fund , Tax Supported Funds ,149200,52100
2014,Information & Technology,Department of Innovation and Technology,"Policy, Planning and Innovation",Contractual Services,Contracted Services,$371700.00,$371700.00,Contracted Services, General Fund , Tax Supported Funds ,149100,52900
2014,Information & Technology,Department of Innovation and Technology,"Policy, Planning and Innovation",Contractual Services,Transportation of Persons,$10000.00,$10000.00,Transportation of Persons, General Fund , Tax Supported Funds ,149100,52800
2014,Information & Technology,Department of Innovation and Technology,"Policy, Planning and Innovation",Contractual Services,Repairs & Service To Equipment,$7000.00,$7000.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,149100,52700
2014,Information & Technology,Department of Innovation and Technology,"Policy, Planning and Innovation",Contractual Services,Communications,$120000.00,$120000.00,Communications, General Fund , Tax Supported Funds ,149100,52100
2015,Information & Technology,Department of Innovation and Technology,IT Operations and Service Delivery,Contractual Services,Contracted Services,$30000.00,$30000.00,Contracted Services, General Fund , Tax Supported Funds ,149500,52900
2015,Information & Technology,Department of Innovation and Technology,IT Operations and Service Delivery,Contractual Services,Transportation of Persons,$0.00,$0.00,Transportation of Persons, General Fund , Tax Supported Funds ,149500,52800
2015,Information & Technology,Department of Innovation and Technology,IT Operations and Service Delivery,Contractual Services,Repairs & Service To Equipment,$94200.00,$94200.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,149500,52700
2015,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Contracted Services,$824500.00,$824500.00,Contracted Services, General Fund , Tax Supported Funds ,149400,52900
2015,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Transportation of Persons,$7500.00,$7500.00,Transportation of Persons, General Fund , Tax Supported Funds ,149400,52800
2015,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Repairs & Service To Equipment,$912800.00,$912800.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,149400,52700
2015,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Repairs Buildings & Structures,$0.00,$0.00,Repairs Buildings & Structures, General Fund , Tax Supported Funds ,149400,52600
2015,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Communications,$661300.00,$661300.00,Communications, General Fund , Tax Supported Funds ,149400,52100
2015,Information & Technology,Department of Innovation and Technology,eGovernment,Contractual Services,Contracted Services,$86500.00,$86500.00,Contracted Services, General Fund , Tax Supported Funds ,149300,52900
2015,Information & Technology,Department of Innovation and Technology,eGovernment,Contractual Services,Transportation of Persons,$1500.00,$1500.00,Transportation of Persons, General Fund , Tax Supported Funds ,149300,52800
2015,Information & Technology,Department of Innovation and Technology,eGovernment,Contractual Services,Repairs & Service To Equipment,$1000.00,$1000.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,149300,52700
2015,Information & Technology,Department of Innovation and Technology,eGovernment,Contractual Services,Communications,$0.00,$0.00,Communications, General Fund , Tax Supported Funds ,149300,52100
2015,Information & Technology,Department of Innovation and Technology,Enterprise Applications,Contractual Services,Contracted Services,$2003500.00,$2003500.00,Contracted Services, General Fund , Tax Supported Funds ,149200,52900
2013,Mayors Cabinet,Law Department,Litigation,Contractual Services,Communications,$126.21,$126.21,Communications, General Fund , Tax Supported Funds ,151200,52100
2012,Information & Technology,Department of Innovation and Technology,IT Operations and Service Delivery,Contractual Services,Contracted Services,$110699.87,$110699.87,Contracted Services, General Fund , Tax Supported Funds ,149500,52900
2012,Information & Technology,Department of Innovation and Technology,IT Operations and Service Delivery,Contractual Services,Transportation of Persons,$25.00,$25.00,Transportation of Persons, General Fund , Tax Supported Funds ,149500,52800
2012,Information & Technology,Department of Innovation and Technology,IT Operations and Service Delivery,Contractual Services,Repairs & Service To Equipment,$54312.36,$54312.36,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,149500,52700
2015,Information & Technology,Department of Innovation and Technology,Enterprise Applications,Contractual Services,Transportation of Persons,$10000.00,$10000.00,Transportation of Persons, General Fund , Tax Supported Funds ,149200,52800
2012,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Contracted Services,$358571.16,$358571.16,Contracted Services, General Fund , Tax Supported Funds ,149400,52900
2012,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Transportation of Persons,$0.00,$0.00,Transportation of Persons, General Fund , Tax Supported Funds ,149400,52800
2015,Information & Technology,Department of Innovation and Technology,Enterprise Applications,Contractual Services,Communications,$0.00,$0.00,Communications, General Fund , Tax Supported Funds ,149200,52100
2012,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Repairs & Service To Equipment,$852187.33,$852187.33,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,149400,52700
2012,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Repairs Buildings & Structures,$0.00,$0.00,Repairs Buildings & Structures, General Fund , Tax Supported Funds ,149400,52600
2012,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Communications,$105476.41,$105476.41,Communications, General Fund , Tax Supported Funds ,149400,52100
2012,Information & Technology,Department of Innovation and Technology,eGovernment,Contractual Services,Contracted Services,$184400.00,$184400.00,Contracted Services, General Fund , Tax Supported Funds ,149300,52900
2012,Information & Technology,Department of Innovation and Technology,eGovernment,Contractual Services,Transportation of Persons,$615.48,$615.48,Transportation of Persons, General Fund , Tax Supported Funds ,149300,52800
2012,Information & Technology,Department of Innovation and Technology,eGovernment,Contractual Services,Repairs & Service To Equipment,$1000.00,$1000.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,149300,52700
2012,Information & Technology,Department of Innovation and Technology,eGovernment,Contractual Services,Communications,$0.00,$0.00,Communications, General Fund , Tax Supported Funds ,149300,52100
2012,Information & Technology,Department of Innovation and Technology,Enterprise Applications,Contractual Services,Contracted Services,$2502800.59,$2502800.59,Contracted Services, General Fund , Tax Supported Funds ,149200,52900
2012,Information & Technology,Department of Innovation and Technology,Enterprise Applications,Contractual Services,Transportation of Persons,$14067.96,$14067.96,Transportation of Persons, General Fund , Tax Supported Funds ,149200,52800
2012,Information & Technology,Department of Innovation and Technology,Enterprise Applications,Contractual Services,Communications,$109136.68,$109136.68,Communications, General Fund , Tax Supported Funds ,149200,52100
2012,Information & Technology,Department of Innovation and Technology,"Policy, Planning and Innovation",Contractual Services,Contracted Services,$1291856.35,$1291856.35,Contracted Services, General Fund , Tax Supported Funds ,149100,52900
2012,Information & Technology,Department of Innovation and Technology,"Policy, Planning and Innovation",Contractual Services,Transportation of Persons,$14244.82,$14244.82,Transportation of Persons, General Fund , Tax Supported Funds ,149100,52800
2012,Information & Technology,Department of Innovation and Technology,"Policy, Planning and Innovation",Contractual Services,Repairs & Service To Equipment,$66094.03,$66094.03,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,149100,52700
2012,Information & Technology,Department of Innovation and Technology,"Policy, Planning and Innovation",Contractual Services,Communications,$161774.64,$161774.64,Communications, General Fund , Tax Supported Funds ,149100,52100
2015,Information & Technology,Department of Innovation and Technology,"Policy, Planning and Innovation",Contractual Services,Contracted Services,$331200.00,$331200.00,Contracted Services, General Fund , Tax Supported Funds ,149100,52900
2015,Information & Technology,Department of Innovation and Technology,"Policy, Planning and Innovation",Contractual Services,Transportation of Persons,$16250.00,$16250.00,Transportation of Persons, General Fund , Tax Supported Funds ,149100,52800
2015,Information & Technology,Department of Innovation and Technology,"Policy, Planning and Innovation",Contractual Services,Repairs & Service To Equipment,$7000.00,$7000.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,149100,52700
2015,Information & Technology,Department of Innovation and Technology,"Policy, Planning and Innovation",Contractual Services,Communications,$285000.00,$285000.00,Communications, General Fund , Tax Supported Funds ,149100,52100
2013,Information & Technology,Department of Innovation and Technology,IT Operations and Service Delivery,Contractual Services,Contracted Services,$85655.15,$85655.15,Contracted Services, General Fund , Tax Supported Funds ,149500,52900
2013,Information & Technology,Department of Innovation and Technology,IT Operations and Service Delivery,Contractual Services,Transportation of Persons,$750.00,$750.00,Transportation of Persons, General Fund , Tax Supported Funds ,149500,52800
2013,Information & Technology,Department of Innovation and Technology,IT Operations and Service Delivery,Contractual Services,Repairs & Service To Equipment,$20773.96,$20773.96,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,149500,52700
2013,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Contracted Services,$601597.59,$601597.59,Contracted Services, General Fund , Tax Supported Funds ,149400,52900
2013,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Transportation of Persons,$275.00,$275.00,Transportation of Persons, General Fund , Tax Supported Funds ,149400,52800
2013,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Repairs & Service To Equipment,$867975.44,$867975.44,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,149400,52700
2013,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Repairs Buildings & Structures,$39979.00,$39979.00,Repairs Buildings & Structures, General Fund , Tax Supported Funds ,149400,52600
2013,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Communications,$118128.67,$118128.67,Communications, General Fund , Tax Supported Funds ,149400,52100
2013,Information & Technology,Department of Innovation and Technology,eGovernment,Contractual Services,Contracted Services,$78892.00,$78892.00,Contracted Services, General Fund , Tax Supported Funds ,149300,52900
2013,Information & Technology,Department of Innovation and Technology,eGovernment,Contractual Services,Transportation of Persons,$0.00,$0.00,Transportation of Persons, General Fund , Tax Supported Funds ,149300,52800
2013,Information & Technology,Department of Innovation and Technology,eGovernment,Contractual Services,Repairs & Service To Equipment,$0.00,$0.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,149300,52700
2013,Information & Technology,Department of Innovation and Technology,eGovernment,Contractual Services,Communications,$0.00,$0.00,Communications, General Fund , Tax Supported Funds ,149300,52100
2013,Information & Technology,Department of Innovation and Technology,Enterprise Applications,Contractual Services,Contracted Services,$4040798.27,$4040798.27,Contracted Services, General Fund , Tax Supported Funds ,149200,52900
2013,Information & Technology,Department of Innovation and Technology,Enterprise Applications,Contractual Services,Transportation of Persons,$23242.08,$23242.08,Transportation of Persons, General Fund , Tax Supported Funds ,149200,52800
2013,Information & Technology,Department of Innovation and Technology,Enterprise Applications,Contractual Services,Communications,$109023.36,$109023.36,Communications, General Fund , Tax Supported Funds ,149200,52100
2013,Information & Technology,Department of Innovation and Technology,"Policy, Planning and Innovation",Contractual Services,Contracted Services,$210272.31,$210272.31,Contracted Services, General Fund , Tax Supported Funds ,149100,52900
2013,Information & Technology,Department of Innovation and Technology,"Policy, Planning and Innovation",Contractual Services,Transportation of Persons,$5787.26,$5787.26,Transportation of Persons, General Fund , Tax Supported Funds ,149100,52800
2013,Information & Technology,Department of Innovation and Technology,"Policy, Planning and Innovation",Contractual Services,Repairs & Service To Equipment,$1505.41,$1505.41,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,149100,52700
2013,Information & Technology,Department of Innovation and Technology,"Policy, Planning and Innovation",Contractual Services,Communications,$172210.99,$172210.99,Communications, General Fund , Tax Supported Funds ,149100,52100
2016,Housing & Neighborhood Development,Neighborhood Development,Business Services,Contractual Services,Contracted Services,$432000.00,$432000.00,Contracted Services, General Fund , Tax Supported Funds ,188500,52900
2016,Housing & Neighborhood Development,Neighborhood Development,Housing Development & Services,Contractual Services,Contracted Services,$10000.00,$10000.00,Contracted Services, General Fund , Tax Supported Funds ,188300,52900
2016,Housing & Neighborhood Development,Neighborhood Development,Real Estate Management & Sales,Contractual Services,Contracted Services,$437837.00,$437837.00,Contracted Services, General Fund , Tax Supported Funds ,188200,52900
2016,Housing & Neighborhood Development,Neighborhood Development,Neighborhood Development Administration,Contractual Services,Contracted Services,$107313.00,$107313.00,Contracted Services, General Fund , Tax Supported Funds ,188100,52900
2016,Housing & Neighborhood Development,Neighborhood Development,Business Services,Contractual Services,Transportation of Persons,$3471.00,$3471.00,Transportation of Persons, General Fund , Tax Supported Funds ,188500,52800
2016,Housing & Neighborhood Development,Neighborhood Development,Housing Development & Services,Contractual Services,Transportation of Persons,$1493.00,$1493.00,Transportation of Persons, General Fund , Tax Supported Funds ,188300,52800
2016,Housing & Neighborhood Development,Neighborhood Development,Real Estate Management & Sales,Contractual Services,Transportation of Persons,$900.00,$900.00,Transportation of Persons, General Fund , Tax Supported Funds ,188200,52800
2016,Housing & Neighborhood Development,Neighborhood Development,Neighborhood Development Administration,Contractual Services,Transportation of Persons,$1696.00,$1696.00,Transportation of Persons, General Fund , Tax Supported Funds ,188100,52800
2016,Housing & Neighborhood Development,Neighborhood Development,Business Services,Contractual Services,Repairs & Service To Equipment,$11500.00,$11500.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,188500,52700
2016,Housing & Neighborhood Development,Neighborhood Development,Housing Development & Services,Contractual Services,Repairs & Service To Equipment,$0.00,$0.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,188300,52700
2016,Housing & Neighborhood Development,Neighborhood Development,Neighborhood Development Administration,Contractual Services,Repairs & Service To Equipment,$13445.00,$13445.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,188100,52700
2016,Housing & Neighborhood Development,Neighborhood Development,Real Estate Management & Sales,Contractual Services,Repairs Buildings & Structures,$99000.00,$99000.00,Repairs Buildings & Structures, General Fund , Tax Supported Funds ,188200,52600
2016,Housing & Neighborhood Development,Neighborhood Development,Neighborhood Development Administration,Contractual Services,Repairs Buildings & Structures,$7202.00,$7202.00,Repairs Buildings & Structures, General Fund , Tax Supported Funds ,188100,52600
2016,Housing & Neighborhood Development,Neighborhood Development,Real Estate Management & Sales,Contractual Services,Garbage/Waste Removal,$8800.00,$8800.00,Garbage/Waste Removal, General Fund , Tax Supported Funds ,188200,52500
2016,Housing & Neighborhood Development,Neighborhood Development,Neighborhood Development Administration,Contractual Services,Garbage/Waste Removal,$1250.00,$1250.00,Garbage/Waste Removal, General Fund , Tax Supported Funds ,188100,52500
2016,Housing & Neighborhood Development,Neighborhood Development,Real Estate Management & Sales,Contractual Services,Snow Removal,$41490.00,$41490.00,Snow Removal, General Fund , Tax Supported Funds ,188200,52400
2016,Housing & Neighborhood Development,Neighborhood Development,Real Estate Management & Sales,Contractual Services,Utilities,$14286.48,$14286.48,Utilities, General Fund , Tax Supported Funds ,188200,52200
2016,Housing & Neighborhood Development,Neighborhood Development,Neighborhood Development Administration,Contractual Services,Utilities,$96964.75,$96964.75,Utilities, General Fund , Tax Supported Funds ,188100,52200
2016,Housing & Neighborhood Development,Neighborhood Development,Housing Development & Services,Contractual Services,Communications,$0.00,$0.00,Communications, General Fund , Tax Supported Funds ,188300,52100
2016,Housing & Neighborhood Development,Neighborhood Development,Real Estate Management & Sales,Contractual Services,Communications,$0.00,$0.00,Communications, General Fund , Tax Supported Funds ,188200,52100
2016,Housing & Neighborhood Development,Neighborhood Development,Neighborhood Development Administration,Contractual Services,Communications,$49736.00,$49736.00,Communications, General Fund , Tax Supported Funds ,188100,52100
2016,Housing & Neighborhood Development,Leading the Way,Housing & Neighborhood Preservation,Contractual Services,Contracted Services,$0.00,$0.00,Contracted Services, General Fund , Tax Supported Funds ,189300,52900
2016,Housing & Neighborhood Development,Leading the Way,Housing Production and Access,Contractual Services,Contracted Services,$0.00,$0.00,Contracted Services, General Fund , Tax Supported Funds ,189200,52900
2014,Housing & Neighborhood Development,Leading the Way,Housing & Neighborhood Preservation,Contractual Services,Contracted Services,$3000000.00,$3000000.00,Contracted Services, General Fund , Tax Supported Funds ,189300,52900
2014,Housing & Neighborhood Development,Leading the Way,Housing Production and Access,Contractual Services,Contracted Services,$2500000.00,$2500000.00,Contracted Services, General Fund , Tax Supported Funds ,189200,52900
2014,Housing & Neighborhood Development,Neighborhood Development,Business Services,Contractual Services,Contracted Services,$13000.00,$13000.00,Contracted Services, General Fund , Tax Supported Funds ,188500,52900
2014,Housing & Neighborhood Development,Neighborhood Development,Business Services,Contractual Services,Transportation of Persons,$3435.00,$3435.00,Transportation of Persons, General Fund , Tax Supported Funds ,188500,52800
2014,Housing & Neighborhood Development,Neighborhood Development,Business Services,Contractual Services,Repairs & Service To Equipment,$11500.00,$11500.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,188500,52700
2014,Housing & Neighborhood Development,Neighborhood Development,Housing Development,Contractual Services,Contracted Services,$10000.00,$10000.00,Contracted Services, General Fund , Tax Supported Funds ,188300,52900
2014,Housing & Neighborhood Development,Neighborhood Development,Housing Development,Contractual Services,Transportation of Persons,$1416.00,$1416.00,Transportation of Persons, General Fund , Tax Supported Funds ,188300,52800
2014,Housing & Neighborhood Development,Neighborhood Development,Housing Development,Contractual Services,Repairs & Service To Equipment,$0.00,$0.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,188300,52700
2014,Housing & Neighborhood Development,Neighborhood Development,Housing Development,Contractual Services,Communications,$0.00,$0.00,Communications, General Fund , Tax Supported Funds ,188300,52100
2014,Housing & Neighborhood Development,Neighborhood Development,Real Estate Management & Sales,Contractual Services,Contracted Services,$469689.00,$469689.00,Contracted Services, General Fund , Tax Supported Funds ,188200,52900
2014,Housing & Neighborhood Development,Neighborhood Development,Real Estate Management & Sales,Contractual Services,Transportation of Persons,$1600.00,$1600.00,Transportation of Persons, General Fund , Tax Supported Funds ,188200,52800
2014,Housing & Neighborhood Development,Neighborhood Development,Real Estate Management & Sales,Contractual Services,Repairs Buildings & Structures,$197820.00,$197820.00,Repairs Buildings & Structures, General Fund , Tax Supported Funds ,188200,52600
2014,Housing & Neighborhood Development,Neighborhood Development,Real Estate Management & Sales,Contractual Services,Garbage/Waste Removal,$15000.00,$15000.00,Garbage/Waste Removal, General Fund , Tax Supported Funds ,188200,52500
2014,Housing & Neighborhood Development,Neighborhood Development,Real Estate Management & Sales,Contractual Services,Snow Removal,$45000.00,$45000.00,Snow Removal, General Fund , Tax Supported Funds ,188200,52400
2014,Housing & Neighborhood Development,Neighborhood Development,Real Estate Management & Sales,Contractual Services,Utilities,$43312.00,$43312.00,Utilities, General Fund , Tax Supported Funds ,188200,52200
2014,Housing & Neighborhood Development,Neighborhood Development,Real Estate Management & Sales,Contractual Services,Communications,$9403.00,$9403.00,Communications, General Fund , Tax Supported Funds ,188200,52100
2014,Housing & Neighborhood Development,Neighborhood Development,Neighborhood Development Administration,Contractual Services,Contracted Services,$111643.00,$111643.00,Contracted Services, General Fund , Tax Supported Funds ,188100,52900
2014,Housing & Neighborhood Development,Neighborhood Development,Neighborhood Development Administration,Contractual Services,Transportation of Persons,$1400.00,$1400.00,Transportation of Persons, General Fund , Tax Supported Funds ,188100,52800
2014,Housing & Neighborhood Development,Neighborhood Development,Neighborhood Development Administration,Contractual Services,Repairs & Service To Equipment,$19650.00,$19650.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,188100,52700
2014,Housing & Neighborhood Development,Neighborhood Development,Neighborhood Development Administration,Contractual Services,Repairs Buildings & Structures,$7202.00,$7202.00,Repairs Buildings & Structures, General Fund , Tax Supported Funds ,188100,52600
2014,Housing & Neighborhood Development,Neighborhood Development,Neighborhood Development Administration,Contractual Services,Garbage/Waste Removal,$1250.00,$1250.00,Garbage/Waste Removal, General Fund , Tax Supported Funds ,188100,52500
2014,Housing & Neighborhood Development,Neighborhood Development,Neighborhood Development Administration,Contractual Services,Utilities,$66100.65,$66100.65,Utilities, General Fund , Tax Supported Funds ,188100,52200
2014,Housing & Neighborhood Development,Neighborhood Development,Neighborhood Development Administration,Contractual Services,Communications,$60828.00,$60828.00,Communications, General Fund , Tax Supported Funds ,188100,52100
2012,Housing & Neighborhood Development,Leading the Way,Housing & Neighborhood Preservation,Contractual Services,Contracted Services,$2500000.00,$2500000.00,Contracted Services, General Fund , Tax Supported Funds ,189300,52900
2012,Housing & Neighborhood Development,Leading the Way,Housing Production and Access,Contractual Services,Contracted Services,$2500000.00,$2500000.00,Contracted Services, General Fund , Tax Supported Funds ,189200,52900
2012,Housing & Neighborhood Development,Neighborhood Development,Business Services,Contractual Services,Contracted Services,$15885.00,$15885.00,Contracted Services, General Fund , Tax Supported Funds ,188500,52900
2012,Housing & Neighborhood Development,Neighborhood Development,Business Services,Contractual Services,Transportation of Persons,$1560.00,$1560.00,Transportation of Persons, General Fund , Tax Supported Funds ,188500,52800
2012,Housing & Neighborhood Development,Neighborhood Development,Business Services,Contractual Services,Repairs & Service To Equipment,$11500.00,$11500.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,188500,52700
2012,Housing & Neighborhood Development,Neighborhood Development,Housing Development,Contractual Services,Contracted Services,$0.00,$0.00,Contracted Services, General Fund , Tax Supported Funds ,188300,52900
